DNASource,BioSample,Identifer,Country,Year,Serovar,cgMLST,ST,ResistGene,Host,SampleSource
SRR3112601,SAMN04331102,LiDS0047,Canada,2002,,1,321,"fosX, lin",Homo sapiens,Fluid - Cerebral spinal Fluid; Clinical; Human (Homo Sapiens)
SRR5764985,SAMN05410651,Lm102,Canada,2009,,1,321,"fosX, lin",,Food
SRR3173580,SAMN04146069,FLAG-82946,USA,2008,1,1,321,"fosX, lin",,Smoked salmon
SRR1825868,SAMN03354359,CFSAN004334,USA,2000,1/2a,1,321,"fosX, lin",,Beef/pork franks (8/1/00)
SRR1619199,SAMN03093511,PNUSAL001055,USA,2014,1/2a,1,321,"fosX, lin",,Blood
SRR2047264,SAMN03755208,PNUSAL001428,USA,2015,1/2a,1,321,"fosX, lin",,Blood
SRR1141130,SAMN02569917,CFSAN007580,USA,2013,,1,321,"fosX, lin",,Swab
SRR1141162,SAMN02569933,CFSAN007915,USA,2013,,1,321,"fosX, lin",,Swab
SRR1141156,SAMN02569935,CFSAN007917,USA,2013,,1,321,"fosX, lin",,Swab
SRR1284712,SAMN02569956,CFSAN007938,USA,2013,,1,321,"fosX, lin",,Environmental swab
SRR1195646,SAMN02570902,CFSAN008091,USA,2013,,1,321,"fosX, lin",,Environmental swab
SRR1505022,SAMN02900387,CFSAN011039,USA,2000,,1,321,"fosX, lin",,Environmental swab
SRR1505034,SAMN02900388,CFSAN011040,USA,2000,,1,321,"fosX, lin",,Environmental swab
SRR1505060,SAMN02900389,CFSAN011041,USA,2000,,1,321,"fosX, lin",,Environmental swab
SRR1505061,SAMN02900391,CFSAN011043,USA,2007,,1,321,"fosX, lin",,Smoked salmon - cream cheese base
SRR1505057,SAMN02900399,CFSAN011051,USA,2007,,1,321,"fosX, lin",,"Salmon, hot smoked, pacific spp."
SRR1505052,SAMN02900416,CFSAN011068,USA,2008,,1,321,"fosX, lin",,Environmental swab
SRR1505089,SAMN02900418,CFSAN011070,USA,2008,,1,321,"fosX, lin",,Environmental swab
SRR1505053,SAMN02900423,CFSAN011075,USA,2010,,1,321,"fosX, lin",,Environmental swab
SRR1505023,SAMN02900429,CFSAN011081,USA,2011,,1,321,"fosX, lin",,Environmental swab
SRR1505047,SAMN02900434,CFSAN011086,USA,2012,,1,321,"fosX, lin",,Environmental swab
SRR1505049,SAMN02900435,CFSAN011087,USA,2012,,1,321,"fosX, lin",,Environmental swab
SRR1505069,SAMN02900437,CFSAN011089,USA,2012,,1,321,"fosX, lin",,Environmental swab
SRR1505024,SAMN02900439,CFSAN011091,USA,2012,,1,321,"fosX, lin",,Environmental swab
SRR1505015,SAMN02900440,CFSAN011092,USA,2012,,1,321,"fosX, lin",,Environmental swab
SRR1509603,SAMN02870505,CFSAN019514,USA,2014,,1,321,"fosX, lin",,Environmental: non-food-contact surface
SRR1509610,SAMN02870506,CFSAN019515,USA,2014,,1,321,"fosX, lin",,Environmental: non-food-contact surface
SRR2924567,SAMN03285279,CFSAN028813,USA,2012,,1,321,"fosX, lin",,RTE deli meats - turkey mesquite
SRR2924568,SAMN03285280,CFSAN028814,USA,2012,,1,321,"fosX, lin",,RTE deli meats - turkey mesquite
SRR3147453,SAMN04362474,CFSAN038695,USA,2015,,1,321,"fosX, lin",,Taco meat
SRR5195801,SAMN06213900,CFSAN059312,USA,2016,,1,321,"fosX, lin",,Canadian style bacon
SRR5195794,SAMN06213899,CFSAN059313,USA,2016,,1,321,"fosX, lin",,Canadian style bacon
SRR5195796,SAMN06213898,CFSAN059314,USA,2016,,1,321,"fosX, lin",,Canadian style bacon
SRR6377100,SAMN08108870,CFSAN072257,USA,2017,,1,321,"fosX, lin",,Diced Ham Sold Frozen
SRR6377094,SAMN08108869,CFSAN072258,USA,2017,,1,321,"fosX, lin",,Diced Ham Sold Frozen
SRR5366611,SAMN06563856,FDA0932629-083-006,USA,2017,,1,321,"fosX, lin",,Environmental swab
SRR5019800,SAMN05992373,FDA0952968-124-037,USA,2016,,1,321,"fosX, lin",,Environmental swab
SRR6796394,SAMN08628471,FDA1036611-002-001,USA,2018,,1,321,"fosX, lin",,Environmental swab
SRR6796393,SAMN08628472,FDA1036611-004-001,USA,2018,,1,321,"fosX, lin",,Environmental swab
SRR6796390,SAMN08628470,FDA1036611-023-001,USA,2018,,1,321,"fosX, lin",,Environmental swab
SRR7196738,SAMN09240653,FDA1046387-064-001,USA,2018,,1,321,"fosX, lin",,Environmental swab
SRR7196733,SAMN09239926,FDA1046387-064-006,USA,2018,,1,321,"fosX, lin",,
SRR7196731,SAMN09238983,FDA1046387-067-001,USA,2018,,1,321,"fosX, lin",,
SRR7196762,SAMN09238258,FDA1046387-067-004,USA,2018,,1,321,"fosX, lin",,
SRR7193929,SAMN09237934,FDA1046387-068-001,USA,2018,,1,321,"fosX, lin",,
SRR7196758,SAMN09239838,FDA1046387-068-004,USA,2018,,1,321,"fosX, lin",,
SRR7196753,SAMN09239837,FDA1046387-069-001,USA,2018,,1,321,"fosX, lin",,
SRR7196737,SAMN09240240,FDA1046387-069-004,USA,2018,,1,321,"fosX, lin",,
SRR7196764,SAMN09239978,FDA1046387-070-006,USA,2018,,1,321,"fosX, lin",,
SRR6073364,SAMN02922025,FDA704496-43,USA,2011,,1,321,"fosX, lin",,Swab
SRR6869975,SAMN02922091,FDA805714 41-1,USA,2013,,1,321,"fosX, lin",,Swab
SRR2029598,SAMN03654431,FDA864640-15-3,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029586,SAMN03654417,FDA864640-16,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR1744017,SAMN03274502,FDA864640-18-1,USA,2014,,1,321,"fosX, lin",,Environmental swab
SRR2029599,SAMN03654418,FDA864640-19,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029587,SAMN03654419,FDA864640-20,USA,2014,,1,321,"fosX, lin",,Environmental swabs
