BioSample accession no.,SourceSeq.,Strain_ID/Alias,IsolatYear,SourceCountry,Serogroup_type,ST,No. void loci
SAMD00006230,DRR015799,,,,,88,47
SAMD00057587,DRR068856,VNND_2013Jul_3SS,2013,Vietnam,O1,69,1
SAMD00057588,DRR068857,VNND_2013Jul_5SS,2013,Vietnam,O1,69,1
SAMD00057589,DRR068858,VNND_2013Sep_4SS,2013,Vietnam,O1,173,24
SAMD00057590,DRR068859,VNND_2014Jun_6SS,2014,Vietnam,O1,173,20
SAMEA889366,ERR018113,4675,2001,Bangladesh,O1_Ogawa,69,33
SAMEA889293,ERR018116,4661,2001,Bangladesh,O1_Ogawa,69,26
SAMEA889232,ERR018119,A330,1993,India,O139,69,9
SAMEA889230,ERR018120,MJ1485,1994,Bangladesh,O1_Inaba,69,20
SAMEA889233,ERR018121,A383,2002,Bangladesh,O139,69,10
SAMEA889199,ERR018122,MG116025,1991,Bangladesh,O1_Ogawa,69,13
SAMEA889205,ERR018124,VC51,1992,India,O1_Ogawa,69,74
SAMEA889206,ERR018125,V212-1,1991,India,O1_Ogawa,69,10
SAMEA889203,ERR018126,V109,1990,India,O1_Ogawa,69,21
SAMEA889204,ERR018127,V5,1989,India,O1_Ogawa,69,14
SAMEA889229,ERR018128,A488(2),2006,Bangladesh,O1_Ogawa,69,47
SAMEA889228,ERR018129,GP8,1970,India,O1_Inaba,73,61
SAMEA889378,ERR018132,A46,1964,,O1_Ogawa,73,32
SAMEA889376,ERR018133,A70,1969,Bangladesh,O1_Inaba,73,31
SAMEA889339,ERR018135,A68,1949,Egypt,O1_Inaba,73,41
SAMEA889340,ERR018136,A66,1962,Bangladesh,O1_Inaba,73,40
SAMEA889386,ERR018137,A61,1970,India,O1_Inaba,73,63
SAMEA889385,ERR018138,A60,1958,Thailand,O1_Inaba,73,55
SAMEA889381,ERR018139,A59,1970,India,O1_Inaba,73,55
SAMEA889377,ERR018143,A76,1982,Bangladesh,O1_Inaba,73,45
SAMEA889342,ERR018145,A103,1990,,O1_Inaba,73,76
SAMEA889344,ERR018146,A184,1992,Colombia,O1_Ogawa,69,39
SAMEA889313,ERR018148,A180,1992,Colombia,O1_Inaba,69,73
SAMEA889311,ERR018150,A155,1991,Mozambique,O1_Inaba,69,43
SAMEA889310,ERR018151,A154,1991,Mozambique,O1_Ogawa,69,26
SAMEA889347,ERR018152,A152,1991,Mozambique,O1_Ogawa,69,25
SAMEA889348,ERR018153,A131,1989,India,O1_Ogawa,69,37
SAMEA889345,ERR018154,A130,1989,India,O1_Ogawa,69,61
SAMEA889287,ERR018155,A111,1990,,O1_Inaba,73,40
SAMEA889343,ERR018156,A185,1992,Colombia,O1_Ogawa,69,33
SAMEA889302,ERR018168,A200,1992,Argentina,O1_Ogawa,69,68
SAMEA889201,ERR018186,GP60,1973,India,O1_Ogawa,69,76
SAMEA889210,ERR019288,6191,2005,Kenya,O1_Inaba,69,47
SAMEA889375,ERR019880,4111,2002,Vietnam,O1_Inaba,69,20
SAMEA889288,ERR019884,4672,2000,Bangladesh,O1_Ogawa,69,46
SAMEA889152,ERR028066,7682,2009,Kenya,O1_Inaba,69,16
SAMEA889151,ERR028068,7684,2009,Kenya,O1_Inaba,69,10
SAMEA889155,ERR028075,7686,2009,Kenya,O1_Inaba,69,15
SAMEA889156,ERR028076,7685,2009,Kenya,O1_Inaba,69,7
SAMEA889296,ERR039258,IB5234,,,,69,0
SAMEA889297,ERR039259,IB5236,,,,69,0
SAMEA889292,ERR039260,IB5240,,,,69,0
SAMEA889294,ERR039261,IB5241,,,,69,0
SAMEA889285,ERR039262,IB5261,,,,69,0
SAMEA889200,ERR039263,IB5275,,,,69,0
SAMEA889281,ERR039264,IB5276,,,,69,0
SAMEA889283,ERR039265,IB5277,,,,69,0
SAMEA889263,ERR039266,IB5278,,,,69,0
SAMEA889260,ERR039267,IB5279,,,,69,0
SAMEA889193,ERR039268,IB5280,,,,69,0
SAMEA889262,ERR039269,IB5281,,,,69,0
SAMEA889257,ERR039270,IB5282,,,,69,0
SAMEA889254,ERR039271,IB5283,,,,69,1
SAMEA889252,ERR039272,IB5284,,,,69,0
SAMEA889251,ERR039273,IB5285,,,,69,0
SAMEA889389,ERR039274,IB5286,,,,69,0
SAMEA889388,ERR039275,IB5287,,,,69,0
SAMEA889135,ERR039276,IB5288,,,,69,0
SAMEA889136,ERR039277,IB5289,,,,69,1
SAMEA889137,ERR039278,IB5290,,,,69,0
SAMEA889138,ERR039279,IB5291,,,,69,1
SAMEA889139,ERR039280,IB5292,,,,69,0
SAMEA889140,ERR039281,IB5293,,,,69,0
SAMEA889141,ERR039282,IB5294,,,,69,0
SAMEA889142,ERR039283,IB5295,,,,69,1
SAMEA889132,ERR039284,IB5296,,,,69,1
SAMEA889133,ERR039285,IB5297,,,,69,1
SAMEA889398,ERR039286,IB5298,,,,69,1
SAMEA889390,ERR039287,IB5299,,,,69,1
SAMEA889301,ERR039288,IB5300,,,,69,1
SAMEA889397,ERR039289,IB5301,,,,69,1
SAMEA889359,ERR039290,IB5302,,,,69,1
SAMEA889289,ERR039291,IB5303,,,,69,1
SAMEA889322,ERR039292,IB5304,,,,69,1
SAMEA889321,ERR039293,IB5305,,,,69,1
SAMEA889307,ERR039294,IB5306,,,,69,1
SAMEA889306,ERR039295,IB5307,,,,69,1
SAMEA889162,ERR039296,IB5308,,,,69,1
SAMEA889222,ERR039297,IB5309,,,,69,1
SAMEA889261,ERR039298,IB5310,,,,69,1
SAMEA889190,ERR039299,IB5311,,,,69,1
SAMEA889220,ERR039300,IB5312,,,,69,1
SAMEA889346,ERR039301,IB5313,,,,69,1
SAMEA889323,ERR039302,IB5314,,,,69,1
SAMEA889326,ERR039303,IB5315,,,,69,3
SAMEA889349,ERR039304,IB5316,,,,69,0
SAMEA889350,ERR039305,IB5317,,,,69,0
SAMEA889280,ERR039306,IB5318,,,,69,0
SAMEA889391,ERR039307,IB5319,,,,69,0
SAMEA889244,ERR039308,IB5320,,,,69,0
SAMEA889243,ERR039309,IB5321,,,,69,0
SAMEA889291,ERR039310,IB5322,,,,69,0
SAMEA889286,ERR039311,IB5323,,,,69,0
SAMEA889284,ERR039312,IB5324,,,,69,0
SAMEA889282,ERR039313,IB5325,,,,69,0
SAMEA889400,ERR039314,IB5326,,,,69,0
SAMEA889384,ERR039315,IB5327,,,,69,0
SAMEA889276,ERR039316,IB5328,,,,69,0
SAMEA889223,ERR039317,IB5329,,,,69,0
SAMEA889393,ERR039318,IB5330,,,,69,0
SAMEA889256,ERR039319,IB5331,,,,69,0
SAMEA889319,ERR039320,IB5332,,,,69,0
SAMEA889165,ERR039321,IB5333,,,,69,0
SAMEA889318,ERR039322,IB5334,,,,69,0
SAMEA1018437,ERR042729,G2,,,,69,6
SAMEA1018407,ERR042730,G4,,,,69,1
SAMEA1018391,ERR042731,G6,,,,69,5
SAMEA1018367,ERR042732,G8,,,,69,1
SAMEA1018377,ERR042733,G11,1994,Gaza,,69,2
SAMEA1018352,ERR042734,G13,,,,69,1
SAMEA1018648,ERR042735,G14,,,,69,1
SAMEA1018584,ERR042736,G17,,,,69,3
SAMEA1018604,ERR042737,G18,,,,69,0
SAMEA1018595,ERR042738,G21,,,,69,50
SAMEA1018528,ERR042739,G23,,,,69,1
SAMEA1018555,ERR042740,G26,,,,69,2
SAMEA1018508,ERR042741,G27,,,,69,2
SAMEA1018524,ERR042742,G28,,,,69,2
SAMEA1018428,ERR042743,G33,,,,69,5
SAMEA1018438,ERR042744,G34,,,,69,5
SAMEA1018807,ERR042745,1_1970,1970,Israel,,69,1
SAMEA1018661,ERR042746,2_1970,,,,69,2
SAMEA1018675,ERR042747,3_1970,,,,69,1
SAMEA1018694,ERR042748,11_1970,,,,69,1
SAMEA1018709,ERR042749,12_1970,,,,69,2
SAMEA1018728,ERR042750,425_1970,,,,73,9
SAMEA1018579,ERR042751,1100_1970,,,,69,2
SAMEA1018603,ERR042752,101_72,,,,69,0
SAMEA1018644,ERR042754,M6,1992,Mexico,,69,0
SAMEA1018174,ERR042755,M15,,,,73,3
SAMEA1018219,ERR042756,M16,,,,73,3
