BioSample,ST,Void_loci,SourceSeq,AMR genes,Identifier,SourceCountry,IsolatYear,Serogroup_type,Plasmid
SAMD00006230,88,44,DRR015799,varG,,,,,
SAMD00061025,75,8,GCA_000829215.1,"qnrVC, varG",MS6,Thailand,2008 ,O1_Ogawa,
SAMD00118470,69,6,GCA_003574155.1,"aadA1, catB9, sul1, varG",V060002,,,O1,
SAMEA101001418,69,0,ERR2275156,"catB9, dfrA1, varG",4621STDY6714748,Kenya,2015 ,,
SAMEA101002168,69,0,ERR2275157,"catB9, dfrA1, varG",4621STDY6714749,Kenya,2015 ,,rep6
SAMEA101002918,69,0,ERR2275158,"catB9, dfrA1, varG",4621STDY6714750,Kenya,2015 ,,Col(pHAD28)
SAMEA101008918,69,0,ERR2275159,"blaTEM-1, catB9, dfrA1, varG",4621STDY6714758,Kenya,2015 ,,
SAMEA101009668,69,0,ERR2525432,"catB9, dfrA1, varG",4621STDY6714759,,,,
SAMEA101010418,69,0,ERR2525433,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714760,,,,IncC
SAMEA101012668,69,0,ERR2275160,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714763,Kenya,2012 ,,IncC
SAMEA101013418,69,0,ERR2525436,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714764,,,,"Col440I, IncC"
SAMEA101014168,69,0,ERR2525437,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, sul1, sul2, tet(A), varG",4621STDY6714765,,,,IncC
SAMEA101014918,69,0,ERR2525438,"catB9, dfrA1, varG",4621STDY6714766,,,,"Col(pHAD28), Col440I"
SAMEA101015668,69,0,ERR2525439,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714767,,,,"Col440I, IncC"
SAMEA101016418,69,0,ERR2275161,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714768,Kenya,2012 ,,"Col440I, IncC"
SAMEA101017168,69,0,ERR2525440,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714769,,,,IncC
SAMEA101017918,69,0,ERR2525441,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714770,,,,IncC
SAMEA101018668,69,0,ERR2525442,"catB9, dfrA1, varG",4621STDY6714771,,,,
SAMEA101019418,69,0,ERR2525443,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714772,,,,IncC
SAMEA101020168,69,0,ERR2525444,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714773,,,,IncC
SAMEA101020918,69,1,ERR2275162,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4621STDY6714774,Kenya,2012 ,,Col440I
